user_id,interest_id
9f494bc5-731f-4f38-a367-32640bd2b56d,6
9f494bc5-731f-4f38-a367-32640bd2b56d,10
9f494bc5-731f-4f38-a367-32640bd2b56d,13
8d96e8da-9993-495a-a0c2-848796ac710e,8
8d96e8da-9993-495a-a0c2-848796ac710e,9
8d96e8da-9993-495a-a0c2-848796ac710e,10
8d96e8da-9993-495a-a0c2-848796ac710e,11
8d96e8da-9993-495a-a0c2-848796ac710e,15
8d96e8da-9993-495a-a0c2-848796ac710e,17
d6fe6795-80b6-44d5-81a2-ba29873a9947,1
d6fe6795-80b6-44d5-81a2-ba29873a9947,8
d6fe6795-80b6-44d5-81a2-ba29873a9947,9
9d09832f-ff19-4c77-9c05-12881b06c117,9
9d09832f-ff19-4c77-9c05-12881b06c117,12
9d09832f-ff19-4c77-9c05-12881b06c117,14
ada33a22-047d-41f7-9001-c78a46d52ecc,9
ada33a22-047d-41f7-9001-c78a46d52ecc,10
ada33a22-047d-41f7-9001-c78a46d52ecc,11
ada33a22-047d-41f7-9001-c78a46d52ecc,12
ada33a22-047d-41f7-9001-c78a46d52ecc,15
ada33a22-047d-41f7-9001-c78a46d52ecc,17
49df03d0-fa40-4cdf-b3df-abf37a14050b,3
49df03d0-fa40-4cdf-b3df-abf37a14050b,8
49df03d0-fa40-4cdf-b3df-abf37a14050b,9
694b0956-4e4d-45ad-893c-29800a2bcfd9,1
694b0956-4e4d-45ad-893c-29800a2bcfd9,4
694b0956-4e4d-45ad-893c-29800a2bcfd9,5
694b0956-4e4d-45ad-893c-29800a2bcfd9,6
694b0956-4e4d-45ad-893c-29800a2bcfd9,7
694b0956-4e4d-45ad-893c-29800a2bcfd9,10
33730d91-9a14-4721-aec1-1f1aaa89bb40,7
33730d91-9a14-4721-aec1-1f1aaa89bb40,14
33730d91-9a14-4721-aec1-1f1aaa89bb40,17
33730d91-9a14-4721-aec1-1f1aaa89bb40,18
33730d91-9a14-4721-aec1-1f1aaa89bb40,19
c96c33b2-deb4-4624-905a-4bb4eba9b66b,4
c96c33b2-deb4-4624-905a-4bb4eba9b66b,6
c96c33b2-deb4-4624-905a-4bb4eba9b66b,8
aa4e1ebb-5f2c-431e-b14c-49099924347c,7
aa4e1ebb-5f2c-431e-b14c-49099924347c,10
aa4e1ebb-5f2c-431e-b14c-49099924347c,14
d5d7156b-757a-4b4f-9950-c3a38b7b858d,2
d5d7156b-757a-4b4f-9950-c3a38b7b858d,11
d5d7156b-757a-4b4f-9950-c3a38b7b858d,14
d5d7156b-757a-4b4f-9950-c3a38b7b858d,18
8c8251fd-fa99-4fc2-b3f4-b974d8961ad6,3
8c8251fd-fa99-4fc2-b3f4-b974d8961ad6,9
8c8251fd-fa99-4fc2-b3f4-b974d8961ad6,14
8c8251fd-fa99-4fc2-b3f4-b974d8961ad6,15
8c8251fd-fa99-4fc2-b3f4-b974d8961ad6,16
d87f398c-41bc-4a59-b46a-8033c209243f,1
d87f398c-41bc-4a59-b46a-8033c209243f,9
d87f398c-41bc-4a59-b46a-8033c209243f,11
d87f398c-41bc-4a59-b46a-8033c209243f,17
16f1ef83-2744-47e3-a8fa-a79542e39c6e,4
16f1ef83-2744-47e3-a8fa-a79542e39c6e,8
16f1ef83-2744-47e3-a8fa-a79542e39c6e,10
16f1ef83-2744-47e3-a8fa-a79542e39c6e,11
16f1ef83-2744-47e3-a8fa-a79542e39c6e,12
16f1ef83-2744-47e3-a8fa-a79542e39c6e,19
c79bf178-2ad7-46c5-a8bc-69d76f5a35b2,9
c79bf178-2ad7-46c5-a8bc-69d76f5a35b2,19
c79bf178-2ad7-46c5-a8bc-69d76f5a35b2,20
2a2ff3aa-a839-4038-a81c-29bf4839823e,4
2a2ff3aa-a839-4038-a81c-29bf4839823e,5
2a2ff3aa-a839-4038-a81c-29bf4839823e,9
2a2ff3aa-a839-4038-a81c-29bf4839823e,15
e94c386e-8464-4a22-be9a-6beb0e5d7a7b,1
e94c386e-8464-4a22-be9a-6beb0e5d7a7b,9
e94c386e-8464-4a22-be9a-6beb0e5d7a7b,11
e94c386e-8464-4a22-be9a-6beb0e5d7a7b,14
e94c386e-8464-4a22-be9a-6beb0e5d7a7b,15
e94c386e-8464-4a22-be9a-6beb0e5d7a7b,17
d420025c-f809-4d32-9066-98749e88aeb9,9
d420025c-f809-4d32-9066-98749e88aeb9,11
d420025c-f809-4d32-9066-98749e88aeb9,12
d420025c-f809-4d32-9066-98749e88aeb9,14
d420025c-f809-4d32-9066-98749e88aeb9,18
d420025c-f809-4d32-9066-98749e88aeb9,19
d2143c02-7643-4dad-9edd-73d7e485eec7,7
d2143c02-7643-4dad-9edd-73d7e485eec7,9
d2143c02-7643-4dad-9edd-73d7e485eec7,15
d2143c02-7643-4dad-9edd-73d7e485eec7,17
7c67d46c-3aec-42ba-86ea-e64be34be51d,4
7c67d46c-3aec-42ba-86ea-e64be34be51d,11
7c67d46c-3aec-42ba-86ea-e64be34be51d,18
7c67d46c-3aec-42ba-86ea-e64be34be51d,19
7c67d46c-3aec-42ba-86ea-e64be34be51d,20
514d1d62-3100-4b79-9ace-199ed15abd30,9
514d1d62-3100-4b79-9ace-199ed15abd30,11
514d1d62-3100-4b79-9ace-199ed15abd30,12
514d1d62-3100-4b79-9ace-199ed15abd30,14
514d1d62-3100-4b79-9ace-199ed15abd30,17
514d1d62-3100-4b79-9ace-199ed15abd30,18
514d1d62-3100-4b79-9ace-199ed15abd30,19
04d1e3f4-5420-4b71-a3a5-85f2ed790744,9
04d1e3f4-5420-4b71-a3a5-85f2ed790744,12
04d1e3f4-5420-4b71-a3a5-85f2ed790744,13
04d1e3f4-5420-4b71-a3a5-85f2ed790744,14
04d1e3f4-5420-4b71-a3a5-85f2ed790744,20
c03e864e-d2ed-4ce5-856b-2334fbcb17c0,5
c03e864e-d2ed-4ce5-856b-2334fbcb17c0,9
c03e864e-d2ed-4ce5-856b-2334fbcb17c0,11
c03e864e-d2ed-4ce5-856b-2334fbcb17c0,12
3c0142b7-95e6-4f7f-b870-c04bcbdf37c3,6
3c0142b7-95e6-4f7f-b870-c04bcbdf37c3,8
3c0142b7-95e6-4f7f-b870-c04bcbdf37c3,12
3c0142b7-95e6-4f7f-b870-c04bcbdf37c3,16
ae62feb9-2fe5-4f14-9abc-6d3de60551e9,4
ae62feb9-2fe5-4f14-9abc-6d3de60551e9,8
ae62feb9-2fe5-4f14-9abc-6d3de60551e9,9
ae62feb9-2fe5-4f14-9abc-6d3de60551e9,11
ae62feb9-2fe5-4f14-9abc-6d3de60551e9,13
ae62feb9-2fe5-4f14-9abc-6d3de60551e9,18
05ebad91-5c0a-406d-b835-141c19b231e0,11
05ebad91-5c0a-406d-b835-141c19b231e0,16
05ebad91-5c0a-406d-b835-141c19b231e0,18
60a4713c-9862-4c54-b843-99e82e3e7bea,1
60a4713c-9862-4c54-b843-99e82e3e7bea,2
60a4713c-9862-4c54-b843-99e82e3e7bea,3
60a4713c-9862-4c54-b843-99e82e3e7bea,12
60a4713c-9862-4c54-b843-99e82e3e7bea,14
60a4713c-9862-4c54-b843-99e82e3e7bea,15
85e3ccdc-ad7f-4b05-b057-8593c1f4a450,14
85e3ccdc-ad7f-4b05-b057-8593c1f4a450,19
85e3ccdc-ad7f-4b05-b057-8593c1f4a450,20
6487383a-0fb9-4616-a52e-d9a0ba69cc53,8
6487383a-0fb9-4616-a52e-d9a0ba69cc53,9
6487383a-0fb9-4616-a52e-d9a0ba69cc53,10
6487383a-0fb9-4616-a52e-d9a0ba69cc53,11
6487383a-0fb9-4616-a52e-d9a0ba69cc53,15
4126b992-e218-4090-8952-12b50eedb60c,8
4126b992-e218-4090-8952-12b50eedb60c,9
4126b992-e218-4090-8952-12b50eedb60c,10
4126b992-e218-4090-8952-12b50eedb60c,12
4126b992-e218-4090-8952-12b50eedb60c,15
4126b992-e218-4090-8952-12b50eedb60c,20
e8dda1ab-4e22-4b44-b642-16d429b530e6,7
e8dda1ab-4e22-4b44-b642-16d429b530e6,9
e8dda1ab-4e22-4b44-b642-16d429b530e6,11
