id,event_id,user_id,status,registered_at,cancelled_at,attendance_status,cancel_reason
1,c998667f-4864-437b-b5c1-0264dd37f5e5,a40aa065-08ee-47e0-9fe4-04100a58e6f1,REGISTERED,2026-04-16 10:19:25.950065+00:00,,PENDING,
2,c998667f-4864-437b-b5c1-0264dd37f5e5,11e4bafe-f46f-4714-ae79-46782f98afcc,REGISTERED,2026-04-18 14:10:24.097556+00:00,,PENDING,
3,c998667f-4864-437b-b5c1-0264dd37f5e5,fd139f69-a02f-403a-a413-19b49a716926,REGISTERED,2026-04-16 04:55:01.460299+00:00,,PENDING,
4,c998667f-4864-437b-b5c1-0264dd37f5e5,233057b7-c1c0-40c2-9d82-b5af2946ba7d,REGISTERED,2026-04-30 09:33:49.821847+00:00,,PENDING,
5,c998667f-4864-437b-b5c1-0264dd37f5e5,e707ec8d-700c-4a76-b105-331db986cdd6,REGISTERED,2026-04-24 09:54:27.483464+00:00,,PENDING,
6,c998667f-4864-437b-b5c1-0264dd37f5e5,ce737a66-340f-45b5-b53a-c9066f05836b,REGISTERED,2026-04-27 09:43:07.603735+00:00,,PENDING,
7,c998667f-4864-437b-b5c1-0264dd37f5e5,52d16be2-1e29-40b8-8bcf-0168e069291b,REGISTERED,2026-04-29 06:17:51.556470+00:00,,PENDING,
8,c998667f-4864-437b-b5c1-0264dd37f5e5,3e5fe20d-95f7-4fea-a0b1-f764d3af1ede,CANCELLED,2026-04-18 15:59:42.950032+00:00,2026-04-27 17:38:06.657806+00:00,PENDING,Problème de disponibilité logistique.
9,c998667f-4864-437b-b5c1-0264dd37f5e5,41a6c95e-1a40-4fc5-a34d-45dacb2f816f,REGISTERED,2026-04-27 07:53:00.478764+00:00,,PENDING,
10,c998667f-4864-437b-b5c1-0264dd37f5e5,f50ff8d2-296b-430d-bc2e-7a3ba13a75b7,REGISTERED,2026-04-25 08:41:28.710293+00:00,,PENDING,
11,c998667f-4864-437b-b5c1-0264dd37f5e5,f4cd3bad-4dac-4e03-9295-0b1a528ef4eb,REGISTERED,2026-04-18 19:37:55.250313+00:00,,PENDING,
12,c998667f-4864-437b-b5c1-0264dd37f5e5,d8820e49-04ca-49fb-ae6e-24da3db841fb,REGISTERED,2026-04-20 01:53:21.111072+00:00,,PENDING,
13,c998667f-4864-437b-b5c1-0264dd37f5e5,3f24b106-d0fe-4f00-822d-c9d256babef7,REGISTERED,2026-04-18 17:06:08.379160+00:00,,PENDING,
14,c998667f-4864-437b-b5c1-0264dd37f5e5,b4b6c65f-6664-4d76-b394-e61f1c8f8ec1,REGISTERED,2026-04-24 01:44:09.596111+00:00,,PENDING,
15,c998667f-4864-437b-b5c1-0264dd37f5e5,41417e3e-4fd4-4942-a396-ba652bde8364,REGISTERED,2026-04-30 00:44:02.907290+00:00,,PENDING,
16,c998667f-4864-437b-b5c1-0264dd37f5e5,ae8476f4-9a83-4f9f-a68f-08866cdec032,REGISTERED,2026-04-27 10:11:17.405753+00:00,,PENDING,
17,c998667f-4864-437b-b5c1-0264dd37f5e5,23f999be-8f3a-4135-a109-48825f2b5ce3,REGISTERED,2026-04-26 20:26:46.829499+00:00,,PENDING,
18,c998667f-4864-437b-b5c1-0264dd37f5e5,d55887a6-ba09-4137-817b-136eca0eb8fe,REGISTERED,2026-04-20 23:35:36.811957+00:00,,PENDING,
19,c998667f-4864-437b-b5c1-0264dd37f5e5,ee1c4d3b-ec68-41f3-b7f1-58779c7a6bd9,REGISTERED,2026-04-26 16:29:41.154482+00:00,,PENDING,
20,c998667f-4864-437b-b5c1-0264dd37f5e5,bc82679b-60ac-4cb8-a2c8-90cf85491d9f,REGISTERED,2026-04-25 02:52:38.151525+00:00,,PENDING,
21,c998667f-4864-437b-b5c1-0264dd37f5e5,83181837-ca9a-4a93-95ef-82c0c1624078,REGISTERED,2026-04-19 19:15:36.811590+00:00,,PENDING,
22,c998667f-4864-437b-b5c1-0264dd37f5e5,85d69c98-5b99-4368-9470-a023a0faaa39,REGISTERED,2026-04-15 19:21:20.923876+00:00,,PENDING,
23,c998667f-4864-437b-b5c1-0264dd37f5e5,4c324c73-2dc1-425d-8e1b-f3224f6128ec,REGISTERED,2026-04-26 09:37:06.923938+00:00,,PENDING,
24,c998667f-4864-437b-b5c1-0264dd37f5e5,3890de82-3395-42e3-86ff-099140dc8353,REGISTERED,2026-04-26 11:16:11.156252+00:00,,PENDING,
25,c998667f-4864-437b-b5c1-0264dd37f5e5,79456f8d-6ac6-4880-873b-04763ea7326d,REGISTERED,2026-04-15 17:53:56.835445+00:00,,PENDING,
26,c998667f-4864-437b-b5c1-0264dd37f5e5,6487383a-0fb9-4616-a52e-d9a0ba69cc53,REGISTERED,2026-04-22 14:33:04.297757+00:00,,PENDING,
27,c998667f-4864-437b-b5c1-0264dd37f5e5,96f88851-c0d4-41cf-be20-b08886bc6e6c,REGISTERED,2026-04-26 17:32:53.580870+00:00,,PENDING,
28,c998667f-4864-437b-b5c1-0264dd37f5e5,514d1d62-3100-4b79-9ace-199ed15abd30,REGISTERED,2026-04-27 15:53:21.642933+00:00,,PENDING,
29,c998667f-4864-437b-b5c1-0264dd37f5e5,e3327257-45ae-4912-b4c2-08f9cb4d8536,REGISTERED,2026-04-30 09:29:58.596255+00:00,,PENDING,
30,c998667f-4864-437b-b5c1-0264dd37f5e5,e1a6a44d-3130-4403-b5cb-3639929a10a0,REGISTERED,2026-04-16 19:48:43.413162+00:00,,PENDING,
31,c998667f-4864-437b-b5c1-0264dd37f5e5,f6be51eb-5ff8-4a8e-a90d-11214c8c8539,REGISTERED,2026-04-21 16:40:35.485613+00:00,,PENDING,
32,c998667f-4864-437b-b5c1-0264dd37f5e5,702b5919-6fb5-46fa-8a5a-e0c7f8f37c74,REGISTERED,2026-04-30 13:29:56.089661+00:00,,PENDING,
33,c998667f-4864-437b-b5c1-0264dd37f5e5,8447be2e-4776-47d8-b0e5-e6a88f3e7d22,REGISTERED,2026-04-17 03:50:57.992028+00:00,,PENDING,
34,c998667f-4864-437b-b5c1-0264dd37f5e5,2283e00e-d82e-4663-8d50-14ece1f3a41c,REGISTERED,2026-04-16 16:25:17.896574+00:00,,PENDING,
35,c998667f-4864-437b-b5c1-0264dd37f5e5,182f7f8c-7ece-40b1-9940-ad0854333381,REGISTERED,2026-04-21 16:35:46.680459+00:00,,PENDING,
36,c998667f-4864-437b-b5c1-0264dd37f5e5,770a3736-dd6c-443d-92ff-d84e014a53e9,REGISTERED,2026-04-16 10:30:22.877209+00:00,,PENDING,
37,c998667f-4864-437b-b5c1-0264dd37f5e5,523b8c7a-c2fe-456d-b96a-d35efdae8e10,REGISTERED,2026-04-28 07:31:41.851112+00:00,,PENDING,
38,c998667f-4864-437b-b5c1-0264dd37f5e5,ea40f618-7f28-4677-9945-8b26e9dad431,REGISTERED,2026-04-16 16:50:04.340712+00:00,,PENDING,
39,c998667f-4864-437b-b5c1-0264dd37f5e5,fd4de66f-9089-4132-b386-bcc0aed023a5,REGISTERED,2026-04-29 09:28:43.432011+00:00,,PENDING,
40,c998667f-4864-437b-b5c1-0264dd37f5e5,b6421516-65a2-4794-a3cf-e6d057cb9c36,REGISTERED,2026-04-27 17:47:10.405153+00:00,,PENDING,
41,c998667f-4864-437b-b5c1-0264dd37f5e5,0ad2e8b9-a1e4-439b-82a6-7043befa8527,REGISTERED,2026-04-26 21:17:03.242914+00:00,,PENDING,
42,c998667f-4864-437b-b5c1-0264dd37f5e5,473aea92-b352-4816-84a6-998d6674e016,REGISTERED,2026-04-24 20:20:18.444339+00:00,,PENDING,
43,c998667f-4864-437b-b5c1-0264dd37f5e5,722ee721-cbc4-48ea-afc1-2addf9bc9ffe,CANCELLED,2026-04-27 13:25:42.556371+00:00,2026-04-27 21:24:19.541748+00:00,PENDING,Absence validée par le manager.
44,c998667f-4864-437b-b5c1-0264dd37f5e5,b312e220-ae63-4cad-98df-940d573360df,REGISTERED,2026-04-29 17:24:22.433595+00:00,,PENDING,
