table,row,severity,code,message,key
users,5,WARNING,MISSING_JOB_TITLE,Poste manquant,9d09832f-ff19-4c77-9c05-12881b06c117
users,6,WARNING,MISSING_JOB_TITLE,Poste manquant,ada33a22-047d-41f7-9001-c78a46d52ecc
users,7,WARNING,MISSING_JOB_TITLE,Poste manquant,49df03d0-fa40-4cdf-b3df-abf37a14050b
users,9,WARNING,MISSING_DEPARTMENT,Utilisateur sans département,33730d91-9a14-4721-aec1-1f1aaa89bb40
users,10,WARNING,MISSING_JOB_TITLE,Poste manquant,c96c33b2-deb4-4624-905a-4bb4eba9b66b
users,11,WARNING,MISSING_JOB_TITLE,Poste manquant,aa4e1ebb-5f2c-431e-b14c-49099924347c
users,12,WARNING,MISSING_JOB_TITLE,Poste manquant,d5d7156b-757a-4b4f-9950-c3a38b7b858d
users,16,WARNING,MISSING_DEPARTMENT,Utilisateur sans département,c79bf178-2ad7-46c5-a8bc-69d76f5a35b2
users,18,WARNING,INVALID_PHONE,Téléphone non standard: +2164837763,e94c386e-8464-4a22-be9a-6beb0e5d7a7b
users,19,WARNING,INVALID_PHONE,Téléphone non standard: +2164837763,d420025c-f809-4d32-9066-98749e88aeb9
users,23,WARNING,INVALID_PHONE,Téléphone non standard: +2165632568,04d1e3f4-5420-4b71-a3a5-85f2ed790744
users,23,WARNING,MISSING_JOB_TITLE,Poste manquant,04d1e3f4-5420-4b71-a3a5-85f2ed790744
users,26,WARNING,MISSING_DEPARTMENT,Utilisateur sans département,ae62feb9-2fe5-4f14-9abc-6d3de60551e9
user_interests,0,WARNING,TOO_MANY_INTERESTS,Utilisateur avec plus de 6 intérêts: 7,514d1d62-3100-4b79-9ace-199ed15abd30
user_interests,0,WARNING,TOO_MANY_INTERESTS,Utilisateur avec plus de 6 intérêts: 7,e8dda1ab-4e22-4b44-b642-16d429b530e6
user_interests,0,WARNING,TOO_MANY_INTERESTS,Utilisateur avec plus de 6 intérêts: 7,53bc19ae-6115-4448-91c2-079f930260b9
