event_id,event_title,event_start_at,event_status,event_category,event_audience,event_location_type,target_department_id,capacity,duration_minutes,day_of_week,hour,month,is_morning,is_afternoon,is_afterwork,department_size,events_same_day_count,events_same_department_same_week_count,historical_category_registration_rate,historical_category_attendance_rate,historical_department_participation_rate,historical_hour_registration_rate,historical_day_registration_rate,registered_count,present_count,invitation_count,rsvp_yes_count,rsvp_maybe_count,rsvp_no_count,feedback_count,average_rating,registration_rate,attendance_rate,rsvp_yes_rate,rsvp_no_rate,success_score,success_label,outcome_available
316a39be-c75d-4127-9918-2989a2b1f1c5,Rencontre culture interne vie d’entreprise - édition 0258,2026-03-01 13:15:00+00:00,ARCHIVED,Culture d’entreprise,GLOBAL,ONLINE,0,83,120,6,13,3,0,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,1
fc34e1fc-4661-4a79-8177-57658ee1d856,Live interne IoT et capteurs - édition 0063,2026-03-02 09:00:00+00:00,PUBLISHED,Webinaire,GLOBAL,ONLINE,0,145,45,0,9,3,1,0,0,2,3,0,0.0,0.0,0.0,0.0,0.0,58.0,48.0,13.0,0.0,4.0,2.0,36.0,3.1666666666666665,0.4,0.8275862068965517,0.0,0.15384615384615385,0.5516091954022988,MEDIUM,1
3515dc2c-e29a-4736-88d3-eac1c07c8aa7,Networking speed networking - Qualité - édition 0878,2026-03-02 11:15:00+00:00,CANCELLED,Networking,DEPARTMENT,ONSITE,8,62,60,0,11,3,1,0,0,47,3,2,0.2,0.41379310344827586,0.41379310344827586,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,0
be73a2ad-0c60-4ba7-b1c4-b301012d88ec,Parcours engagement onboarding culturel - édition 0196,2026-03-02 14:15:00+00:00,ARCHIVED,Culture d’entreprise,GLOBAL,ONLINE,0,81,60,0,14,3,0,1,0,2,3,0,0.0,0.0,0.41379310344827586,0.13333333333333333,0.2,2.0,2.0,6.0,0.0,2.0,0.0,1.0,3.0,0.024691358024691357,1.0,0.0,0.0,0.3748148148148148,LOW,1
42895c1e-2063-416b-8010-4b266e41cdc8,Rencontre expert qualité opérationnelle - édition 0302,2026-03-02 14:30:00+00:00,PUBLISHED,Conférence,GLOBAL,ONLINE,0,241,120,0,14,3,0,1,0,2,3,0,0.10617283950617284,0.4568965517241379,0.6091954022988505,0.024691358024691357,0.14156378600823047,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,1
298d7be8-b9f1-4248-99a4-a79b4692facc,Live interne protection des données - édition 0240,2026-03-03 10:15:00+00:00,PUBLISHED,Webinaire,DEPARTMENT,ONLINE,5,282,30,1,10,3,1,0,0,86,3,0,0.4,0.8275862068965517,0.3655172413793103,0.08493827160493828,0.08493827160493828,0.0,0.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,LOW,1
0a0c2bd6-9d51-441b-83d0-68db4cd99256,Rencontre culture interne onboarding culturel - édition 0105,2026-03-03 13:30:00+00:00,ARCHIVED,Culture d’entreprise,GLOBAL,ONLINE,0,205,60,1,13,3,0,1,0,2,3,0,0.012345679012345678,0.5,0.4568965517241379,0.0,0.0,124.0,104.0,13.0,1.0,4.0,2.0,72.0,3.2777777777777777,0.6048780487804878,0.8387096774193549,0.07692307692307693,0.15384615384615385,0.6800952880496547,MEDIUM,1
8cc72972-aa24-4797-ac8a-e54355aaa94f,Challenge innovation expérimentation digitale - édition 0828,2026-03-03 15:00:00+00:00,ARCHIVED,Innovation,GLOBAL,ONLINE,0,104,45,1,15,3,0,1,0,2,3,0,0.14708134382931132,0.3808994120451295,0.5332591768631814,0.14708134382931132,0.3024390243902439,0.0,0.0,13.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,LOW,1
a12c2a6a-50b7-4a4c-bde8-b43812b619a8,Culture d’entreprise rencontre direction - Ressources humaines - édition 0880,2026-03-03 16:15:00+00:00,PUBLISHED,Culture d’entreprise,DEPARTMENT,EXTERNAL,2,38,90,1,16,3,0,1,0,105,3,0,0.20985646893505971,0.6129032258064516,0.3332869855394883,0.1286961758506474,0.2016260162601626,0.0,0.0,16.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,LOW,1
6f23c9a9-ae98-4062-bdd8-8532ff1dde3c,Parcours pratique SQL avancé - édition 0021,2026-03-04 10:00:00+00:00,PUBLISHED,Formation,DEPARTMENT,ONSITE,7,12,120,2,10,3,1,0,0,77,4,1,0.11439660075613103,0.29625509825732294,0.29625509825732294,0.0,0.11439660075613103,0.0,0.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,LOW,1
9bde9d91-ca5a-4267-9ab0-6937934ec32a,Session de formation cloud computing - Communication interne - édition 0519,2026-03-04 11:00:00+00:00,ARCHIVED,Formation,DEPARTMENT,ONLINE,12,33,60,2,11,3,1,0,0,22,4,1,0.0,0.0,0.2666295884315907,0.0,0.0,17.0,10.0,8.0,5.0,1.0,1.0,4.0,2.75,0.5151515151515151,0.5882352941176471,0.625,0.125,0.5405614973262033,MEDIUM,1
f7a54488-0611-449e-bf85-c0398fd517a2,Workshop prise de parole - édition 0144,2026-03-04 14:00:00+00:00,ARCHIVED,Atelier,DEPARTMENT,ONLINE,11,71,90,2,14,3,0,1,0,24,4,3,0.14042917472333585,0.2958664707666867,0.2958664707666867,0.012345679012345678,0.25757575757575757,13.0,12.0,11.0,6.0,0.0,3.0,10.0,3.3,0.18309859154929578,0.9230769230769231,0.5454545454545454,0.2727272727272727,0.4527822318526544,MEDIUM,1
e80de757-21e9-4a2b-b149-b9f835ef496b,Parcours pratique cloud computing - édition 0289,2026-03-04 16:00:00+00:00,ARCHIVED,Formation,GLOBAL,ONLINE,0,80,120,2,16,3,0,1,0,2,4,0,0.25757575757575757,0.29411764705882354,0.44438264738598443,0.0,0.23275003556693696,0.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,LOW,1
59595556-48f7-4c97-8237-651070e5e8d3,Soirée réseau convivialité - édition 0802,2026-03-04 19:00:00+00:00,ARCHIVED,Afterwork,GLOBAL,ONSITE,0,20,150,2,19,3,0,0,1,2,4,0,0.13290919334661463,0.32135446934695977,0.3808994120451295,0.13290919334661463,0.17456252667520272,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,LOW,1
d054626b-730a-4f72-a0ba-5cf0757bddb9,Session pratique organisation d’événement - Qualité - édition 0239,2026-03-05 11:00:00+00:00,ARCHIVED,Atelier,DEPARTMENT,ONSITE,8,14,120,3,11,3,1,0,0,47,3,2,0.18309859154929578,0.9230769230769231,0.0,0.25757575757575757,0.12341567953614216,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,LOW,1
