user_id,event_id,data_source,sample_weight,event_category,event_audience,event_location_type,event_status,event_capacity,event_duration_minutes,event_day_of_week,event_hour,days_until_event,event_registered_count,event_present_count,event_fill_rate,event_avg_rating,event_feedback_count,same_department,is_global_event,interest_match,user_total_registrations,user_total_attendances,user_attendance_rate,user_avg_rating,user_category_registrations,user_category_attendances,user_category_attendance_rate,points_total,points_events_count,badges_count,was_invited,rsvp_yes,rsvp_maybe,rsvp_no,was_reminded,pair_reminder_count,days_since_last_reminder,user_total_reminders_received,event_total_reminders_sent,registered,attended,feedback_rating,has_feedback,target_score
a0cca5a6-1adb-48cd-8eb4-3ddd051a194a,d6f7f9c8-a295-4d28-ace6-d1a83e454624,CAPEVENTS_NEGATIVE_SAMPLED,0.35,Afterwork,GLOBAL,ONSITE,PUBLISHED,47,150,6,18,179,0.0,0.0,0.0,0.0,0.0,0,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
c413e723-b297-4c8d-b0ed-efcc688a626c,aee29c6f-8347-41b2-a217-49933a7f71ce,CAPEVENTS_NEGATIVE_SAMPLED,0.35,Atelier,GLOBAL,ONSITE,PUBLISHED,25,60,0,11,138,0.0,0.0,0.0,0.0,0.0,0,1,1,4.0,1.0,0.25,0.0,0.0,0.0,0.0,90.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
a7450ed8-f67b-4a15-a99a-a9fa649b6fd6,c71b8b72-0da8-49f7-a611-4c9f2d2071a0,CAPEVENTS_NEGATIVE_SAMPLED,0.35,Formation,GLOBAL,ONSITE,ARCHIVED,79,120,4,10,-54,0.0,0.0,0.0,0.0,0.0,0,1,0,17.0,4.0,0.23529411764705882,2.75,0.0,0.0,0.0,450.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
3890de82-3395-42e3-86ff-099140dc8353,62928efd-6ea0-46c3-8b5a-7705b155fbc0,CAPEVENTS_NEGATIVE_SAMPLED,0.35,Bien-être,DEPARTMENT,ONLINE,ARCHIVED,30,120,3,14,-27,0.0,0.0,0.0,0.0,0.0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
9cca5d9d-2083-45f2-baf5-a904076fa298,207fd162-8ed8-436b-af47-25f94a4b0829,CAPEVENTS_NEGATIVE_SAMPLED,0.35,Atelier,DEPARTMENT,ONSITE,CANCELLED,72,180,4,14,191,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,2.0,0.3333333333333333,2.5,0.0,0.0,0.0,200.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
b3d93062-a120-4b9f-8188-3421e21ae870,72397e68-fa9b-417f-917b-05f6e564ee76,CAPEVENTS_NEGATIVE_SAMPLED,0.35,Networking,DEPARTMENT,ONSITE,PUBLISHED,131,120,4,10,72,0.0,0.0,0.0,0.0,0.0,0,0,0,8.0,3.0,0.375,2.3333333333333335,0.0,0.0,0.0,290.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
38f134e4-e62f-4bb9-a0f5-99a23ed433c7,fc5d8ead-fb34-4623-8cde-c70c80238588,CAPEVENTS_NEGATIVE_SAMPLED,0.35,Innovation,GLOBAL,ONSITE,PUBLISHED,19,120,2,14,189,0.0,0.0,0.0,0.0,0.0,0,1,1,13.0,4.0,0.3076923076923077,1.0,0.0,0.0,0.0,450.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0
9d09832f-ff19-4c77-9c05-12881b06c117,dd751286-d03a-4b80-802e-da3b26015d3c,CAPEVENTS_NEGATIVE_SAMPLED,0.35,RSE,GLOBAL,EXTERNAL,DRAFT,76,60,0,14,12,0.0,0.0,0.0,0.0,0.0,0,1,0,8.0,4.0,0.5,3.0,0.0,0.0,0.0,540.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
786cfe59-0bda-4930-9ccd-c6d0ff02b662,85005264-d974-4e04-af4f-07db95225b12,CAPEVENTS_NEGATIVE_SAMPLED,0.35,RSE,GLOBAL,EXTERNAL,PUBLISHED,43,60,6,15,193,0.0,0.0,0.0,0.0,0.0,0,1,0,4.0,2.0,0.5,4.0,1.0,1.0,1.0,180.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
38cdd74c-b750-4e7c-89b5-9d66dac401b5,10440011-36d1-45cd-b0f9-29469dc42429,CAPEVENTS_CLEAN,1.0,Conférence,GLOBAL,EXTERNAL,PUBLISHED,163,120,0,16,-16,54.0,47.0,0.3312883435582822,3.057142857142857,35.0,0,1,0,5.0,1.0,0.2,0.0,1.0,0.0,0.0,185.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,-1.0
